indice_tiempo,total,agri_ganaderia_caza_silvicultura,agri_ganaderia_caza_serv_conexos,silvicultura_extr_madera_serv_conexos,pesca,explotacion_minas_canteras,extr_c_lig_turba_petro_crudo_gas_nat_act_rel_exc_act_prosp,extr_minerales_metaliferos_explotacion_minas_canteras_ncp,ind_manufacturera,elaboracion_prods_alimenticios_bebidas,elaboracion_prods_tabaco,fabr_prods_textiles,fabr_prendas_vestir_terminacion_tenido_pieles,curtido_term_cueros_fabr_art_marroq_talab_calzado_partes,prod_mad_fabr_mad_corcho_exc_mue_fabr_art_paja_mat_trenz,fabr_papel_prods_papel,edicion_impresion_reprod_grabaciones,fabr_coque_prods_refinacion_petro_comb_nuclear,fabr_sustancias_prods_quimicos,fabr_prods_caucho_plastico,fabr_prods_minerales_no_metalicos,fabr_metales_comunes,fabr_prods_elaborados_metal_excepto_maquinaria_equipo,fabr_maquinaria_equipo_ncp,fabr_maquinaria_oficina_contabilidad_informatica,fabr_maquinaria_aparatos_electricos_ncp,fabr_eq_aparatos_radio_television_comunicaciones,fabr_instrumentos_medicos_opticos_precision_fabr_relojes,fabr_vehiculos_automotores_remolques_semirremolques,fabr_equipo_transporte_ncp,fabr_muebles_colchones_inds_manufactureras_ncp,reciclamiento,reparacion_mantenimiento_instalacion_maq_eq,electricidad_gas_agua,generacion_captacion_distribucion_energia_electrica,fabr_gas_distribucion_combs_gaseosos_por_tuberias,captacion_depuracion_distribucion_agua,construccion,comercio_mayorista_minorista_reparaciones,hoteles_restaurantes,hoteles_campamentos_otros_tipos_hospedaje_temporal,restaurantes_bares_cantinas,transporte_comunicaciones,transporte,comunicaciones,intermediacion_financiera,intermediacion_financiera_otros_serv_financieros,serv_seguros,serv_auxiliares_actividad_financiera,act_inmobiliarias_empresariales_alquiler,serv_inmobiliarios_bienes_propios_arrendados,resto,adm_publica_defensa_planes_seg_soc_afiliacion_obligatoria,ensenianza,ensenianza_publica,ensenianza_privada,serv_sociales_salud,salud_publica,salud_privada,otras_act_serv_comunitarias_sociales_personales,eliminacion_desperdicios_aguas_resid_sanea_serv_similares,asociaciones,serv_culturales_deportivos_otras_act,serv_organizaciones_organos_extraterritoriales,no_clasificados
2004-01-01,1079.1111475076532,637.7685090776165,637.3594581343426,648.8338939027374,2346.925247552734,2923.933556170165,3768.669485538086,1419.995129810209,1282.6297902767458,1112.9823479535896,2458.830822546084,1023.2011710508572,710.3809742090767,952.9818159512582,727.1182368147644,1401.2480903408757,1539.9398923136273,3762.5525730707673,2359.8652893635135,1181.5734374170493,1281.9093768889543,1836.042140069829,925.4830737115434,1157.350354705911,1190.6194489961943,1142.2648498214307,1657.7045890739573,1107.731687861464,1569.2559032158063,1151.671570498682,837.5123885130708,1039.7055374307013,1035.3847789223448,2324.2692360010537,2602.4955680706753,2352.9250781444216,1449.4502321295322,775.6013381910756,963.7541895009191,703.1938525851409,880.5117797778023,619.617660326602,1352.442576906184,1205.2523519958354,1814.002302952514,2387.3562518737917,3160.015146740051,1803.70748683069,1877.094717541091,922.4454116585936,849.4052648981632,928.1931345325326,0.0,545.3737633287019,0.0,545.3737633287019,918.7428682033117,0.0,918.7428682033117,961.9817630823137,1214.7635478724037,966.2284320780352,897.3924080897195,750.3002796168582,1131.5034713435814
2004-04-01,1179.375231782381,698.058581122315,697.2502793981909,720.0363692966005,2781.975695993297,2961.114222305194,3774.005415906444,1537.0233821714567,1432.41152715662,1251.148214832495,2498.7217610076814,1103.4905352738967,780.4536428675025,1075.3983136806823,793.10301259962,1569.6269197413958,1705.9451078945795,4308.072746227574,2648.0283459308134,1341.7079792290651,1381.8770955700677,2201.874694812064,1022.6004710587698,1297.42768628406,1386.412112568725,1269.8081835814628,1716.877827775635,1212.3102913352288,1750.8492451449931,1153.1661298292756,938.2327307554108,1216.004760263061,1117.6585824081794,2320.185481266823,2502.81860638548,2511.357114761522,1664.813604074838,852.4220180179497,1054.4013853724143,789.7110327480839,991.068533329811,701.4355548943144,1503.8655314216874,1360.8165620327125,1958.2986172481321,2271.0727909012353,2751.2854501951133,1925.4648375667982,1833.7631510050244,1014.024493825802,945.3779554251284,1019.2422923646577,0.0,626.858504573097,0.0,626.858504573097,996.0967701711577,0.0,996.0967701711577,1116.542811002897,1395.1062204293419,1162.5486168578539,1000.2597636160975,845.5861744221297,1339.0357751176537
2004-07-01,1022.0596377882749,634.5144894218898,634.3383159911241,639.1417599538895,2209.829495412974,2574.3396423969048,3276.580262238708,1347.5557985768246,1226.1405095693024,1096.721335787126,2095.245025194625,959.4198046915061,689.5237282811618,959.0910037241601,734.5203854469935,1357.0918174927167,1472.4909154103711,3334.913876330956,2135.945354157995,1146.880581050883,1199.8243390011248,1788.8012316968843,885.3162507460836,1117.7420552513006,1223.3769788411748,1125.603239796262,1588.2443497131146,1066.1107401831819,1502.785537891789,1034.9659312384847,833.9998027856699,1048.4526155872668,1003.1321464643679,1978.4182862839791,2142.4003088184363,2124.1973794419014,1397.0635738760775,732.0331657095215,910.8839982013932,686.4155319993644,872.4915551538933,604.7316992025155,1297.1614504815568,1179.2256156192666,1676.6551897244592,1963.626358445351,2390.9395181867803,1662.6447173697957,1545.1196480487533,899.0074495917829,844.4109326454776,903.0962679898334,0.0,586.9947925756571,0.0,586.9947925756571,874.5410812018455,0.0,874.5410812018455,940.8714513840065,1231.7645908920283,959.9916265270142,856.8048750919537,763.7365305848167,1208.1383367428882
2004-10-01,1216.1446360137968,744.4404394249992,744.477950989504,743.4438284146369,2575.040010848397,3276.143234729621,4250.685937942614,1628.281920559968,1504.4308341443711,1297.9154188894659,2422.151591275644,1177.100940513768,819.9399085793308,1147.9406726603495,886.9259354069676,1622.5410743015016,1682.710605397201,3982.368605720083,2618.417073833303,1448.3988011114686,1478.9291680371691,2775.6676173756014,1093.8812165913182,1412.3320604684122,1435.0789500233916,1372.7640148021972,2183.721767493829,1408.9288540351931,1895.611911098757,1255.5045314108536,1008.2533878320957,1294.0463915395537,1303.815076915121,2335.0151223873945,2514.082326491208,2667.9959315100996,1625.9796132105268,885.5291075442437,1069.4270638031567,790.2742106353195,1008.9723839791025,697.0964739728236,1550.393340911743,1414.451480284463,1993.107356902579,2273.4506607091275,2686.416650032664,1973.5122957760739,1920.5915449977642,1058.388037279312,981.146656160924,1063.927421596545,0.0,688.7246339653393,0.0,688.7246339653393,1008.2264497202971,0.0,1008.2264497202971,1111.8460772065498,1436.7416859072628,1150.870930877176,1000.8314714751203,883.2792199700262,1350.1003006795834
2005-01-01,1190.765313985842,693.0476699968534,693.6549015185736,675.6206211867875,2469.0365517625914,3378.9507296998345,4351.666988714241,1641.0117095105657,1431.8916484298823,1264.5103274792523,2476.814565309959,1105.6753229999042,800.9135155196869,1118.5121195512904,877.2811199576969,1590.8412078994963,1573.3412207733272,3882.1684370679163,2524.8661424320894,1379.3077247074555,1421.5685930200393,2300.120437430936,1071.8615515486006,1322.8105391524073,1344.067646523311,1290.6412985203585,2152.5453817581947,1279.3347017407618,1813.5437253840187,1157.961840746316,957.3509924735397,1210.8948981503677,1171.4573170314522,2512.06850952492,2798.039641515561,2597.0582661652625,1586.664507102941,844.861374892226,1053.9942083604578,792.9417763452053,1013.3695664921315,694.2836679234744,1524.9267227148919,1350.9259940092747,2098.010582551154,2574.036830614938,3422.20010852472,1935.9774231423326,1979.8296497635597,1018.1049065371503,924.7543632255523,1024.9114152994148,0.0,641.1731950346232,0.0,641.1731950346232,977.097531574776,0.0,977.097531574776,1068.7514249544524,1488.6954078502615,1091.8106540486885,951.1516127804241,839.8810637258924,1150.2702618363442
2005-04-01,1330.6186102296501,753.642959974913,754.2519094574382,736.6628628942425,3297.6241470525265,3561.7678476639812,4554.843824084328,1837.7126105989742,1623.398984353021,1452.0110094094512,2382.069122652457,1260.9567887877854,935.4017867124129,1305.3022993519887,966.7518620980487,1847.1082956393195,1781.1647014232744,4792.578558331192,2785.1054880319284,1564.0651141574497,1742.0062106047974,2552.4293221974235,1218.250149399291,1497.3356158976874,1499.0067204548752,1466.1043090416163,2286.4384010037147,1535.5820949729489,2000.8098011699858,1314.7103498031672,1058.0797605811206,1554.081306962435,1338.6277643664673,2727.115439819077,2990.682008195485,2930.8003628448164,1805.108249785835,1045.815531417748,1166.0785435341702,887.4677785700051,1143.1518014781182,781.5444172786393,1727.6553129784547,1597.9544993567256,2166.67306583342,2461.124284909355,3019.678673677458,2043.3201024824666,2051.208495600517,1142.9041803663706,1047.1271667614503,1149.8309241882555,0.0,785.1792171298152,0.0,785.1792171298152,1104.8339906542599,0.0,1104.8339906542599,1216.9924574001639,1633.6457700482479,1254.5177079430491,1091.8559619042196,913.9571390307226,1415.4869853338764
2005-07-01,1224.8847102928628,707.3236779934925,708.3398575126498,680.2422752183099,2285.391549555557,3271.0806663203584,4221.167722827403,1653.4771500120867,1478.3888942809626,1332.5154943255234,2235.9009329921982,1143.823558664483,889.487276550287,1135.0293464178237,861.9912976059181,1639.5142266687724,1555.847448381829,3580.120841813652,2461.9599098957638,1392.8758362941544,1405.3725121744262,2735.706396130855,1130.8296083170248,1388.3192430616523,1430.2114307544502,1326.738765164034,2075.7645627925635,1275.9501916703994,1889.141573902828,1224.689883348686,978.0302215396949,1338.2959888414832,1223.7246740909543,2349.3983875183326,2555.476196095037,2615.3720204668425,1577.3310024075145,955.0127758227766,1109.676396804012,794.0314474381264,998.5837506490615,708.2079458549211,1553.0809345015077,1452.9513055919608,1895.486247065109,2345.6516950890223,2900.902923498934,1947.8928033562818,1804.9260293921627,1085.277005106992,1047.6242612787617,1088.0320472710312,0.0,728.0964148469088,0.0,728.0964148469088,990.9535262797148,0.0,990.9535262797148,1101.0973461918625,1481.010243158014,1137.5021240061608,990.8913252644476,896.2162547194433,1278.6842588168656
2005-10-01,1481.2715862437838,873.406174433613,874.6600634490641,839.9960911299103,3007.50408423034,4163.707827405443,5428.999978951951,2024.5013033699308,1835.394211122387,1644.9430540556425,3178.567827656384,1495.160917871783,1106.0115295996147,1387.4792468441613,1092.4121828293416,2072.0396649553336,1942.834464350448,4480.402208189489,3089.729200052288,1818.4239968144734,1765.1912251194576,2958.031007038641,1412.0107341802395,1744.4908779390612,1623.511737369396,1699.1112833528866,2677.5948303343525,1624.3624900648647,2345.8441164203336,1561.4125974692943,1203.480877973383,1624.1713256851494,1522.9373351955107,2876.653774493984,3117.988178371078,3145.7772951263973,1996.4890487950904,1097.8746827846292,1332.985534453139,956.1186528540443,1193.9058849636062,858.4116760775449,1916.9813340183352,1812.0221660475643,2282.1322473700266,2656.360278288985,3191.7998871895843,2279.9145744305556,2070.2112722382135,1267.6247314628931,1164.1095184378305,1274.921810932793,0.0,885.8198093278696,0.0,885.8198093278696,1223.2532998327497,0.0,1223.2532998327497,1336.494555555953,1890.1288285615028,1382.3207237237605,1186.8244656046488,1064.6188359007274,1528.4322794227323
2006-01-01,1413.6583991320595,788.290296963717,788.9248813285705,770.193063666644,3342.7563308349536,4239.982943194074,5514.530507182651,2004.2430737372802,1696.2456463635144,1499.8648826260649,3473.4419917272653,1297.31508581588,975.1522671663992,1243.7444406966902,1005.8061365340822,1920.5051553156036,1801.3791089363685,5172.935262740763,3027.1259733222505,1649.2819262550693,1593.3828966086776,2625.687286968574,1297.616639430702,1567.2635032326573,1446.946460403731,1633.6083432389141,2545.3917483893933,1475.836622693976,2129.378933398885,1450.5783667790497,1124.8708321111994,1480.6422879705274,1415.7960653729788,3073.526252038064,3394.97510394323,3226.9229417870597,2205.325312412996,1048.4323544730325,1245.3270064051767,959.5105801752342,1215.2752250998117,847.7627192198983,1835.5714418713706,1702.5532666627223,2306.0954064216203,2932.899373338394,3904.817830771528,2187.4081482753027,2212.7116012625634,1202.8117591941973,1081.9865224396488,1211.3520667355072,0.0,815.0158404789269,0.0,815.0158404789269,1230.107208006899,0.0,1230.107208006899,1206.8438706433374,1570.0581424847478,1253.8090447479708,1098.3549487604323,1031.36105213858,1333.192402746576
2006-04-01,1622.4712607618912,915.2186441703271,916.308450080632,885.8795802397541,4648.246415625383,4675.900573250999,6078.000023606622,2200.0012268123323,1941.880657622687,1744.9316752213615,2793.6205603054623,1560.9993437394733,1129.8591090042426,1462.859527468062,1189.8911858594724,2195.809351705626,2122.143011784334,4727.3438152829685,3351.380473033542,1886.925371407629,1954.6720138757312,3178.6513838785745,1460.9870130517975,1798.4443232102967,1686.6465174784807,1772.397062131407,2784.7767273859195,1765.1760775731964,2449.286715926774,1622.3173178787217,1311.717451996368,1869.390561956522,1673.2734171527677,3222.7168753126543,3402.1202963735595,3526.341967380825,2524.5985855019726,1244.2298804168179,1433.3528575834328,1096.5579813490403,1398.9201142627323,973.0639597040836,2176.2464703776436,2060.905962634067,2591.745679765253,2891.1343708839786,3531.6635124591744,2417.642220483699,2273.3019401675265,1378.40102656535,1276.3882967971404,1385.5041550611,0.0,1014.155220620623,0.0,1014.155220620623,1431.082961319855,0.0,1431.082961319855,1463.1304218401065,2078.832727663398,1514.145856884974,1298.7775264395807,1185.6929997040174,1653.9209039390623
2006-07-01,1486.120421404656,871.7767082786572,872.8031220551514,845.4483515188787,4855.585123859487,4251.454272611616,5541.249619114545,2004.7891690297888,1801.2859405670995,1621.0483684394724,2824.3978439542184,1436.668843318044,1082.4142933261496,1289.593125105116,1099.7368990780517,1971.6214909240475,1833.7416477231964,4040.451018098911,2912.6170983528664,1736.1332894685206,1717.663006539023,3274.779185716407,1441.7047010330089,1738.2535660482629,1566.8922833294184,1720.925245034436,2485.850521920898,1672.8765626412687,2356.600731081788,1557.2008634444521,1244.0064516331652,1732.7363438316183,1571.806687025112,2819.216238791894,3027.0037395907434,3110.208094949374,2045.8131749726974,1178.9157587075367,1301.8609490363522,986.260418616422,1254.7116896165062,876.1376624700576,1959.631192523883,1863.7887554885465,2306.81310879464,2539.375100121226,3076.812938031964,2138.765740929277,2008.7934126036846,1280.2193466853018,1246.630002874961,1282.5485580032296,0.0,906.9313997218909,0.0,906.9313997218909,1280.1520743153194,0.0,1280.1520743153194,1334.4026012527484,1959.5297037888133,1367.6508442690042,1190.2813523128132,1144.3815417517008,1491.9065668698202
2006-10-01,1762.6031586846934,1031.2359378479537,1031.3914590247657,1027.124699303038,4249.4163458435,4965.4387503470425,6382.033619697582,2483.596565323629,2168.9681102178865,1967.450278072782,3262.5984156462587,1738.7942508618912,1263.1861605589177,1540.2321659507716,1322.9312373937003,2413.4662919282564,2261.733618214723,5195.529638168611,3593.884558453805,2070.210334272336,2089.706616739284,3702.486757321429,1688.8519032367092,2044.6508821736625,1826.2544865980542,2051.975629210174,3240.4417278147093,1934.305082775834,2888.6383852826516,1866.1823138202135,1493.3170836121762,1984.2829304523063,1856.6829119919905,3367.7445193077147,3611.8848206105868,3687.4135867989385,2461.769553499616,1381.966224689056,1554.2997920043351,1162.255358634652,1472.5911841210452,1036.730579052983,2341.4754788689806,2233.753510940178,2736.650133596531,3004.8201076211803,3536.263070934021,2614.3756273020063,2451.760595573676,1512.5622644439204,1411.413603117098,1519.3724199871249,0.0,1064.9934003098926,0.0,1064.9934003098926,1492.9369645111865,0.0,1492.9369645111865,1621.2233121475842,2323.132738818278,1669.894343788368,1449.2728174679648,1327.1059554618473,1755.756866596178
2007-01-01,1683.9273416464648,952.2614226188778,952.959809193382,932.9213113475947,4080.5331812102636,5179.451752104691,6737.9132402880405,2471.802825647608,2024.0361523924662,1856.4444051560913,3752.9690696421517,1527.5380332642405,1143.7894588332117,1402.5513632879363,1225.9135517097957,2221.7237537830583,2131.993813913693,6099.49051925682,3523.5310292547388,1922.6223005024071,1935.4563577735519,3123.4656074466284,1538.8432123412406,1828.6348395268785,1663.0590280038684,1954.6738651836577,2867.6343936605463,1877.183265772575,2614.6746105483626,1703.550523238111,1384.9265782826715,1799.9545062499997,1722.9282547848138,3678.7949498546714,4056.762517269331,3983.1462745048007,2421.3021291827754,1284.499944520371,1460.8591702883414,1113.9213988073486,1415.8439049905485,984.6227346278603,2180.534867692599,2057.0402739288297,2638.837105969614,3556.170355753133,4754.269216253223,2597.392563057216,2686.4193697819705,1409.7865348132887,1308.543974349959,1416.4981245217223,0.0,975.921768323089,0.0,975.921768323089,1496.116496348316,0.0,1496.116496348316,1467.9863527578857,2090.5107520504444,1496.1263063970125,1331.589696424401,1277.1467393197843,1598.524758612902
2007-04-01,1930.4587986534038,1070.3290006668233,1069.7368649341327,1086.347801500899,5566.359833961791,5353.033956753088,6916.78591286673,2621.7240219588666,2369.363733165205,2127.152377185144,3158.519746304524,1825.5409883947102,1343.6859810917751,1700.829043780862,1399.2614675101738,2564.191061792188,2462.3153826619555,5606.7671490556,3956.2410734198243,2299.3504779924797,2328.5174772444407,4117.641147891887,1871.7460872082377,2226.8697306553404,1916.516414922476,2262.08474129465,3257.0960334294195,2298.563883924259,3153.9050537856087,2047.5556318017154,1629.7461869652332,2307.631908075701,2046.0061069065678,3842.9770520612037,4167.009049429097,3946.9514998616455,2838.24213325259,1566.4196341049544,1681.8443182096894,1273.5032298438118,1625.5119538849217,1132.6527776920157,2579.2715560509578,2458.1938739864045,3036.1861430522536,3313.838266522476,4025.5552796309307,2769.0707233057014,2588.773395036301,1596.4446493855069,1517.3841478679844,1601.5343477766276,0.0,1260.1544587973133,0.0,1260.1544587973133,1710.4664231911484,0.0,1710.4664231911484,1722.1784748949017,2490.4075628024666,1769.3432736221744,1541.0051457770771,1507.28662487785,1894.0536111072568
2007-07-01,1790.270495560638,1011.8862069186804,1012.8855985276399,986.0858163259128,4508.415480924078,5531.177789102351,7294.961638827274,2435.4610364183404,2151.2236284970295,1980.329301304781,2973.965439993085,1658.6678503961705,1241.7866571466225,1536.8607106199163,1293.136610459946,2267.941276371919,2234.4014944707546,4824.837852867817,3480.387020822675,2110.304594628448,2084.753719218716,3826.1306780743234,1707.8173256929663,2028.6802418823454,1796.1238491698534,2054.8457078581437,3066.1462452963387,2070.1674769949923,2755.108438121461,1889.1574971910184,1514.8967695283943,2081.194799971477,1897.0858529911766,3505.884448973586,3823.151531661465,3581.672457650705,2545.2136425754416,1473.1130338422056,1561.8811928361893,1223.0485907701675,1552.507791236328,1089.3138270291063,2367.300672684638,2261.1618216463703,2768.639434259197,3009.471222139404,3634.025369221933,2529.1451926198633,2367.065963671614,1529.117454044585,1512.6737690016828,1530.182028519416,0.0,1135.9392838488304,0.0,1135.9392838488304,1520.5791800511165,0.0,1520.5791800511165,1626.569425901875,2365.688228379554,1648.436865885059,1476.5787081500705,1419.1138689972036,1723.9139968755449
2007-10-01,2176.3103344104275,1297.6239850281456,1297.7390615281229,1294.5010898893213,4160.3440969214225,6602.013140761017,8472.29695754374,3280.8313377606423,2668.0045682007008,2406.3449016770537,3810.279209911932,2135.8524412888246,1574.9935344171467,1957.4465189460275,1595.6634457423038,2875.52539424645,2771.6675369756813,6277.373725096622,4324.45438421553,2618.8915290541736,2609.194057476633,4469.285807581095,2142.6970166341016,2570.028011359125,2222.277909321656,2501.8471338827335,4029.774484857347,2460.1494336294827,3496.7385810997844,2398.9167927238714,1886.0787261865878,2558.724843525129,2283.5245865783245,4168.150300600101,4451.4859381323695,4666.776161436057,3100.0300783614966,1816.172590324018,1913.7045408097676,1430.5172966697223,1817.164150883805,1275.1250970560625,2881.165497666814,2747.7458887850994,3386.696316842825,3617.790819280107,4328.202287026926,3059.5563711324303,2921.660297381518,1806.7407937686319,1761.3990411161692,1809.5544436669027,0.0,1375.502120891139,0.0,1375.502120891139,1880.3954069114545,0.0,1880.3954069114545,1991.0164812191429,2849.3801177366418,2047.382601622808,1788.410100585791,1698.629278977709,2174.1329501635864
